algorithm;number of elements;time spent
bubble_sort;10;0.000004
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000004
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000002
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000002
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000002
bubble_sort;10;0.000003
bubble_sort;10;0.000003
bubble_sort;10;0.000002
bubble_sort;10;0.000004
bubble_sort;100;0.000082
bubble_sort;100;0.000113
bubble_sort;100;0.000091
bubble_sort;100;0.000281
bubble_sort;100;0.000094
bubble_sort;100;0.000082
bubble_sort;100;0.000093
bubble_sort;100;0.000090
bubble_sort;100;0.000085
bubble_sort;100;0.000086
bubble_sort;100;0.000094
bubble_sort;100;0.000100
bubble_sort;100;0.000117
bubble_sort;100;0.000075
bubble_sort;100;0.000089
bubble_sort;100;0.000090
bubble_sort;100;0.000090
bubble_sort;100;0.000090
bubble_sort;100;0.000090
bubble_sort;100;0.000093
bubble_sort;1000;0.008465
bubble_sort;1000;0.009132
bubble_sort;1000;0.006726
bubble_sort;1000;0.010101
bubble_sort;1000;0.004645
bubble_sort;1000;0.004157
bubble_sort;1000;0.006028
bubble_sort;1000;0.003780
bubble_sort;1000;0.003421
bubble_sort;1000;0.003404
bubble_sort;1000;0.003513
bubble_sort;1000;0.003456
bubble_sort;1000;0.003302
bubble_sort;1000;0.002767
bubble_sort;1000;0.004361
bubble_sort;1000;0.003363
bubble_sort;1000;0.003476
bubble_sort;1000;0.003335
bubble_sort;1000;0.003457
bubble_sort;1000;0.003508
bubble_sort;10000;0.349339
bubble_sort;10000;0.364065
bubble_sort;10000;0.345290
bubble_sort;10000;0.387804
bubble_sort;10000;0.421360
bubble_sort;10000;0.356268
bubble_sort;10000;0.374434
bubble_sort;10000;0.333954
bubble_sort;10000;0.358758
bubble_sort;10000;0.343472
bubble_sort;10000;0.353112
bubble_sort;10000;0.339379
bubble_sort;10000;0.345828
bubble_sort;10000;0.361339
bubble_sort;10000;0.355098
bubble_sort;10000;0.373969
bubble_sort;10000;0.354771
bubble_sort;10000;0.410373
bubble_sort;10000;0.396124
bubble_sort;10000;0.376926
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000002
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
selection_sort;10;0.000001
